Date,total_consumption_kWh,peak_load_kWh,avg_load_kWh,overloaded_hours,critical_hours,low_load_hours,peak_hours,daily_maintenance_pressure,rolling_30d_pressure,rolling_30d_overloaded_hours
2022-09-14,52274959.352,2525625.655,2178123.3063333333,0,0,2,0,9.397106139470447,270.01349672007996,0.0
2022-09-15,54661504.679,2736211.59,2277562.6949583334,0,0,2,0,10.370211487179407,269.5839786688058,0.0
2022-09-16,52819469.119,2594341.699,2200811.213291667,0,0,0,0,9.524819643081186,268.4895382253624,0.0
2022-09-17,45903725.144999996,2319454.887,1912655.2143749997,0,0,6,0,7.229191706857853,265.22912189080307,0.0
2022-09-18,45288240.879,2192726.695,1887010.036625,0,0,5,0,6.930838639782544,262.5955624484708,0.0
2022-09-19,51847160.0,2486533.871,2160298.3333333335,0,0,1,0,9.219204890459602,265.07365141934224,0.0
2022-09-20,51813182.577,2476846.597,2158882.607375,0,0,3,0,9.224997128051015,267.4460330055369,0.0
2022-09-21,52246524.187,2512694.925,2176938.507791667,0,0,1,0,9.370233126699977,267.0481761170251,0.0
2022-09-22,52071857.24,2512050.3310000002,2169660.7183333333,0,0,2,0,9.318607196961546,266.1528115680722,0.0
2022-09-23,50178863.186,2487612.293,2090785.9660833331,0,0,3,0,8.68439728872311,264.4320955115197,0.0
2022-09-24,42892883.584,2011460.039,1787203.4826666666,0,0,9,0,6.253930991004379,260.33292194395347,0.0
2022-09-25,42327068.665,2082118.29,1763627.8610416667,0,0,9,0,6.101512200783614,256.72524135874795,0.0
2022-09-26,57277885.635,2932419.966,2386578.5681249998,0,0,0,0,11.350353348837391,261.4583967658623,0.0
2022-09-27,54506924.915,2614640.777,2271121.8714583335,0,0,0,0,10.153090092738198,264.97399686048396,0.0
2022-09-28,53097945.863,2559729.403,2212414.4109583334,0,0,0,0,9.67344152115563,264.94226910505046,0.0
2022-09-29,53480532.368,2597582.628,2228355.5153333335,0,0,0,0,9.857970731733241,265.04975553357684,0.0
2022-09-30,52153709.846,2550340.2770000002,2173071.243583333,0,0,0,0,9.365120141832104,264.7280378681043,0.0
2022-10-01,48982844.622,2263024.46,2040951.85925,0,0,0,0,8.100390701945212,262.91217488647465,0.0
2022-10-02,46788704.619,2154033.4050000003,1949529.3591250002,0,0,0,0,7.368776186557498,261.243531246624,0.0
2022-10-03,53088425.262,2634043.92,2212017.71925,0,0,0,0,9.7055924102876,264.1099526010977,0.0
2022-10-04,54060319.506,2538467.588,2252513.31275,0,0,1,0,10.045969898282566,267.53832442040823,0.0
2022-10-05,60136745.16,2914231.126,2505697.715,0,0,0,0,12.24640624093974,270.06437061626315,0.0
