TimeUTC,TimeDK,RegionName,ConsumerCategory2,ConsumerCategory3,ConsumptionkWh
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,26917.115
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Nordjylland,Privat,Privat,191688.54
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Sjælland,Erhverv,Erhverv,371365.483
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Sjælland,Erhverv,Offentlige foretagender,37857.46
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Sjælland,Privat,Privat,320511.763
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Syddanmark,Erhverv,Erhverv,776390.849
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,50133.113
2025-12-31T10:00:00,2025-12-31T11:00:00,Region Syddanmark,Privat,Privat,367193.096
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Hovedstaden,Erhverv,Erhverv,657055.64
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,98996.182
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Hovedstaden,Privat,Privat,431122.642
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Midtjylland,Erhverv,Erhverv,649140.551
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,53426.999
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Midtjylland,Privat,Privat,396286.041
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Nordjylland,Erhverv,Erhverv,346641.287
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,27771.655
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Nordjylland,Privat,Privat,194354.144
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Sjælland,Erhverv,Erhverv,373538.293
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Sjælland,Erhverv,Offentlige foretagender,39642.135
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Sjælland,Privat,Privat,324153.784
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Syddanmark,Erhverv,Erhverv,747405.436
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,51690.841
2025-12-31T09:00:00,2025-12-31T10:00:00,Region Syddanmark,Privat,Privat,368555.057
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Hovedstaden,Erhverv,Erhverv,623897.724
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,98750.059
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Hovedstaden,Privat,Privat,409343.316
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Midtjylland,Erhverv,Erhverv,617379.391
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,54200.256
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Midtjylland,Privat,Privat,386503.995
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Nordjylland,Erhverv,Erhverv,325827.013
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,28297.1
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Nordjylland,Privat,Privat,191290.255
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Sjælland,Erhverv,Erhverv,366815.88
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Sjælland,Erhverv,Offentlige foretagender,40507.49
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Sjælland,Privat,Privat,321439.912
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Syddanmark,Erhverv,Erhverv,718848.29
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,52741.234
2025-12-31T08:00:00,2025-12-31T09:00:00,Region Syddanmark,Privat,Privat,358923.156
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Hovedstaden,Erhverv,Erhverv,608668.006
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,102159.797
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Hovedstaden,Privat,Privat,355742.977
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Midtjylland,Erhverv,Erhverv,570575.435
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Midtjylland,Erhverv,Offentlige foretagender,59800.881
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Midtjylland,Privat,Privat,338119.67
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Nordjylland,Erhverv,Erhverv,297084.217
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Nordjylland,Erhverv,Offentlige foretagender,31498.69
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Nordjylland,Privat,Privat,168468.907
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Sjælland,Erhverv,Erhverv,375025.677
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Sjælland,Erhverv,Offentlige foretagender,42765.895
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Sjælland,Privat,Privat,290646.618
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Syddanmark,Erhverv,Erhverv,683657.725
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Syddanmark,Erhverv,Offentlige foretagender,59764.591
2025-12-31T07:00:00,2025-12-31T08:00:00,Region Syddanmark,Privat,Privat,317846.374
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Hovedstaden,Erhverv,Erhverv,575416.494
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Hovedstaden,Erhverv,Offentlige foretagender,105579.505
2025-12-31T06:00:00,2025-12-31T07:00:00,Region Hovedstaden,Privat,Privat,305849.126
