TimeUTC,TimeDK,HousingCategory,HeatingCategory,ConsumptionkWh
2025-12-30T20:00:00,2025-12-30T21:00:00,Etageejendom,Elvarme eller varmepumpe,8304.915
2025-12-30T20:00:00,2025-12-30T21:00:00,Fritidshuse,Andet,11839.206
2025-12-30T20:00:00,2025-12-30T21:00:00,Fritidshuse,Elvarme eller varmepumpe,164141.257
2025-12-30T20:00:00,2025-12-30T21:00:00,Parcel- og rækkehuse,Andet,641432.357
2025-12-30T20:00:00,2025-12-30T21:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,466478.014
2025-12-30T20:00:00,2025-12-30T21:00:00,Ukendt,Andet,124086.176
2025-12-30T20:00:00,2025-12-30T21:00:00,Ukendt,Elvarme eller varmepumpe,92316.347
2025-12-30T19:00:00,2025-12-30T20:00:00,Andet,Andet,87443.165
2025-12-30T19:00:00,2025-12-30T20:00:00,Andet,Elvarme eller varmepumpe,11647.701
2025-12-30T19:00:00,2025-12-30T20:00:00,Etageejendom,Andet,243142.886
2025-12-30T19:00:00,2025-12-30T20:00:00,Etageejendom,Elvarme eller varmepumpe,8501.295
2025-12-30T19:00:00,2025-12-30T20:00:00,Fritidshuse,Andet,12383.065
2025-12-30T19:00:00,2025-12-30T20:00:00,Fritidshuse,Elvarme eller varmepumpe,172988.814
2025-12-30T19:00:00,2025-12-30T20:00:00,Parcel- og rækkehuse,Andet,678254.587
2025-12-30T19:00:00,2025-12-30T20:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,469912.185
2025-12-30T19:00:00,2025-12-30T20:00:00,Ukendt,Andet,131572.677
2025-12-30T19:00:00,2025-12-30T20:00:00,Ukendt,Elvarme eller varmepumpe,92197.571
2025-12-30T18:00:00,2025-12-30T19:00:00,Andet,Andet,91157.066
2025-12-30T18:00:00,2025-12-30T19:00:00,Andet,Elvarme eller varmepumpe,12076.191
2025-12-30T18:00:00,2025-12-30T19:00:00,Etageejendom,Andet,267386.307
2025-12-30T18:00:00,2025-12-30T19:00:00,Etageejendom,Elvarme eller varmepumpe,8761.683
2025-12-30T18:00:00,2025-12-30T19:00:00,Fritidshuse,Andet,12942.833
2025-12-30T18:00:00,2025-12-30T19:00:00,Fritidshuse,Elvarme eller varmepumpe,184200.223
2025-12-30T18:00:00,2025-12-30T19:00:00,Parcel- og rækkehuse,Andet,735037.409
2025-12-30T18:00:00,2025-12-30T19:00:00,Parcel- og rækkehuse,Elvarme eller varmepumpe,480164.516
2025-12-30T18:00:00,2025-12-30T19:00:00,Ukendt,Andet,143025.15
2025-12-30T18:00:00,2025-12-30T19:00:00,Ukendt,Elvarme eller varmepumpe,93351.663
